"AdvisoryNumber","Date","Lat","Long","Wind","Pres","Movement","Type","Name","Received","Forecaster"
"1","10/22/2012 11:00","13.5","78.0","30","1003","SW at 5 MPH (230 deg)","Tropical Depression","EIGHTEEN","10/22/2012 10:50","Berg/avila"
"1A","10/22/2012 14:00","13.5","78.5","30","1003","STATIONARY MINIMUM CENTRAL PRESSURE...1003 MB...29.62 INCHES   W","Tropical Depression","EIGHTEEN","10/22/2012 13:41","Berg/avila"
"2","10/22/2012 17:00","12.5","78.5","40","999","STATIONARY MINIMUM CENTRAL PRESSURE...999 MB...29.50 INCHES   WA","Tropical Storm","Sandy","10/22/2012 16:59","Pasch"
"2","10/22/2012 17:00","12.5","78.5","40","999","STATIONARY MINIMUM CENTRAL PRESSURE...999 MB...29.50 INCHES   WA","Tropical Storm","Sandy","10/22/2012 16:59","Pasch"
"2A","10/22/2012 20:00","12.7","78.7","45","998","STATIONARY MINIMUM CENTRAL PRESSURE...998 MB...29.47 INCHES   WA","Tropical Storm","Sandy","10/22/2012 19:35","Stewart"
"3","10/22/2012 23:00","12.7","78.6","45","998","STATIONARY MINIMUM CENTRAL PRESSURE...998 MB...29.47 INCHES   WA","Tropical Storm","Sandy","10/22/2012 22:53","Stewart"
"3A","10/23/2012 02:00","12.9","78.7","45","998","STATIONARY MINIMUM CENTRAL PRESSURE...998 MB...29.47 INCHES   WA","Tropical Storm","Sandy","10/23/2012 01:56","Brown"
"4","10/23/2012 05:00","13.3","78.6","45","998","N at 3 MPH (360 deg)","Tropical Storm","Sandy","10/23/2012 04:53","Brown"
"4A","10/23/2012 08:00","13.4","77.9","45","997","NNE at 3 MPH (20 deg)","Tropical Storm","Sandy","10/23/2012 07:59","Pasch"
"5","10/23/2012 11:00","13.8","77.8","50","993","NNE at 5 MPH (20 deg)","Tropical Storm","Sandy","10/23/2012 10:47","Pasch"
"5A","10/23/2012 14:00","14.1","77.6","50","993","NNE at 5 MPH (20 deg)","Tropical Storm","Sandy","10/23/2012 13:38","Pasch"
"6","10/23/2012 17:00","14.3","77.6","50","993","NNE at 6 MPH (20 deg)","Tropical Storm","Sandy","10/23/2012 16:38","Pasch"
"6A","10/23/2012 20:00","14.8","77.5","50","993","NNE at 8 MPH (20 deg)","Tropical Storm","Sandy","10/23/2012 19:50","Beven"
"7","10/23/2012 23:00","15.2","77.2","60","989","NNE at 10 MPH (15 deg)","Tropical Storm","Sandy","10/23/2012 22:53","Beven"
"7A","10/24/2012 02:00","15.7","77.1","65","988","N at 10 MPH (10 deg)","Tropical Storm","Sandy","10/24/2012 01:53","Stewart"
"8","10/24/2012 05:00","16.3","77.0","70","986","N at 14 MPH (10 deg)","Tropical Storm","Sandy","10/24/2012 04:50","Stewart"
"8A","10/24/2012 08:00","16.6","76.9","70","983","N at 14 MPH (10 deg)","Tropical Storm","Sandy","10/24/2012 07:59","Brennan"
"9","10/24/2012 11:00","17.1","76.7","80","973","NNE at 13 MPH (15 deg)","Hurricane","Sandy","10/24/2012 11:02","Brennan"
"9A","10/24/2012 14:00","17.6","76.8","80","973","N at 14 MPH (5 deg)","Hurricane","Sandy","10/24/2012 13:53","Brennan"
"10","10/24/2012 17:00","18.3","76.6","80","970","N at 14 MPH (10 deg)","Hurricane","Sandy","10/24/2012 16:50","Brennan"
"10A","10/24/2012 20:00","18.7","76.4","85","968","N at 14 MPH (10 deg)","Hurricane","Sandy","10/24/2012 19:53","Beven"
"11","10/24/2012 23:00","19.4","76.3","90","954","N at 13 MPH (10 deg)","Hurricane","Sandy","10/24/2012 23:02","Beven"
"11A","10/25/2012 02:00","20.1","75.9","110","957","NNE at 15 MPH (15 deg)","Hurricane","Sandy","10/25/2012 01:59","Stewart/roberts"
"12","10/25/2012 05:00","20.9","75.8","105","960","N at 18 MPH (5 deg)","Hurricane","Sandy","10/25/2012 04:59","Stewart"
"12A","10/25/2012 08:00","21.6","75.5","105","967","N at 18 MPH (10 deg)","Hurricane","Sandy","10/25/2012 07:59","Brennan"
"13","10/25/2012 11:00","22.4","75.5","105","964","N at 16 MPH (360 deg)","Hurricane","Sandy","10/25/2012 10:47","Brennan"
"13A","10/25/2012 14:00","23.5","75.4","105","963","N at 20 MPH (5 deg)","Hurricane","Sandy","10/25/2012 13:50","Brennan"
"14","10/25/2012 17:00","24.5","75.6","105","963","N at 20 MPH (360 deg)","Hurricane","Sandy","10/25/2012 16:38","Brennan"
"14A","10/25/2012 20:00","24.8","75.8","100","965","NNW at 17 MPH (345 deg)","Hurricane","Sandy","10/25/2012 19:53","Beven"
"15","10/25/2012 23:00","25.3","76.1","90","968","NNW at 13 MPH (335 deg)","Hurricane","Sandy","10/25/2012 22:59","Beven"
"15A","10/26/2012 02:00","25.8","76.5","85","968","NNW at 13 MPH (330 deg)","Hurricane","Sandy","10/26/2012 01:53","Brennan/roberts"
"16","10/26/2012 05:00","26.3","76.9","80","968","NW at 13 MPH (325 deg)","Hurricane","Sandy","10/26/2012 04:50","Brennan"
"16A","10/26/2012 08:00","26.4","76.9","80","970","NW at 10 MPH (325 deg)","Hurricane","Sandy","10/26/2012 07:56","Pasch"
"17","10/26/2012 11:00","26.7","76.9","80","970","N at 6 MPH (360 deg)","Hurricane","Sandy","10/26/2012 10:59","Pasch"
"17A","10/26/2012 14:00","27.1","77.1","75","971","N at 7 MPH (350 deg)","Hurricane","Sandy","10/26/2012 14:02","Pasch"
"18","10/26/2012 17:00","27.3","77.1","75","971","N at 7 MPH (360 deg)","Hurricane","Sandy","10/26/2012 17:02","Pasch"
"18A","10/26/2012 20:00","27.5","77.2","75","970","N at 7 MPH (360 deg)","Hurricane","Sandy","10/26/2012 19:56","Beven"
"19","10/26/2012 23:00","27.7","77.1","75","969","N at 7 MPH (10 deg)","Hurricane","Sandy","10/26/2012 22:56","Beven"
"19A","10/27/2012 02:00","28.1","76.9","75","969","NNE at 7 MPH (15 deg)","Hurricane","Sandy","10/27/2012 01:44","Brennan"
"20","10/27/2012 05:00","28.6","76.7","70","969","NNE at 10 MPH (20 deg)","Tropical Storm","Sandy","10/27/2012 04:47","Brennan/cangialosi"
"20A","10/27/2012 08:00","28.8","76.8","75","960","NNE at 10 MPH (20 deg)","Hurricane","Sandy","10/27/2012 08:02","Brown/landsea"
"21","10/27/2012 11:00","29.0","76.0","75","958","NNE at 9 MPH (30 deg)","Hurricane","Sandy","10/27/2012 11:02","Brown"
"21A","10/27/2012 14:00","29.7","75.6","75","961","NE at 11 MPH (35 deg)","Hurricane","Sandy","10/27/2012 13:59","Brown/landsea"
"22","10/27/2012 17:00","30.2","75.2","75","961","NE at 13 MPH (35 deg)","Hurricane","Sandy","10/27/2012 16:56","Brown"
"22A","10/27/2012 20:00","30.5","74.7","75","961","NE at 13 MPH (35 deg)","Hurricane","Sandy","10/27/2012 19:56","Beven"
"23","10/27/2012 23:00","30.9","74.3","75","960","NE at 14 MPH (40 deg)","Hurricane","Sandy","10/27/2012 22:47","Beven"
"23A","10/28/2012 02:00","31.5","73.7","75","960","NE at 14 MPH (40 deg)","Hurricane","Sandy","10/28/2012 01:41","Pasch"
"24","10/28/2012 05:00","31.9","73.3","75","960","NE at 13 MPH (40 deg)","Hurricane","Sandy","10/28/2012 04:41","Pasch/cangialosi"
"24A","10/28/2012 08:00","32.1","73.1","75","951","NE at 10 MPH (40 deg)","Hurricane","Sandy","10/28/2012 08:02","Stewart"
"25","10/28/2012 11:00","32.5","72.6","75","951","NE at 14 MPH (45 deg)","Hurricane","Sandy","10/28/2012 10:59","Stewart/franklin"
"25A","10/28/2012 14:00","32.8","71.9","75","951","NE at 14 MPH (50 deg)","Hurricane","Sandy","10/28/2012 13:56","Stewart"
"26","10/28/2012 17:00","33.4","71.3","75","952","NE at 15 MPH (50 deg)","Hurricane","Sandy","10/28/2012 16:39","Stewart"
"26A","10/28/2012 20:00","34.0","70.9","75","950","NE at 15 MPH (45 deg)","Hurricane","Sandy","10/28/2012 19:53","Beven"
"27","10/28/2012 23:00","34.5","70.5","75","950","NE at 14 MPH (35 deg)","Hurricane","Sandy","10/28/2012 22:50","Beven/roberts"
"27A","10/29/2012 02:00","35.2","70.5","75","950","N at 14 MPH (10 deg)","Hurricane","Sandy","10/29/2012 01:41","Pasch/cangialosi"
"28","10/29/2012 05:00","35.9","70.5","85","946","N at 15 MPH (360 deg)","Hurricane","Sandy","10/29/2012 04:56","Pasch/cangialosi"
"28A","10/29/2012 08:00","36.8","71.1","85","946","NNW at 20 MPH (330 deg)","Hurricane","Sandy","10/29/2012 07:50","Stewart"
"29","10/29/2012 11:00","37.5","71.5","90","943","NNW at 18 MPH (330 deg)","Hurricane","Sandy","10/29/2012 10:41","Stewart"
"29A","10/29/2012 14:00","38.3","73.1","90","940","NW at 28 MPH (305 deg)","Hurricane","Sandy","10/29/2012 13:59","Stewart"
"30","10/29/2012 17:00","38.8","74.4","90","940","WNW at 28 MPH (300 deg)","Hurricane","Sandy","10/29/2012 17:02","Stewart"
"31","10/29/2012 23:00","39.8","75.4","75","952","NW at 18 MPH (305 deg)","Post-Tropical Cyclone","Sandy","10/29/2012 23:02","Brown/roberts"
